2025-09-16T14:02:48.968Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2025-09-16T14:19:45.119Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2025-09-16T14:19:45.121Z | initialize | {"protocolVersion":"2025-06-18","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"1.0.115"}} | SUCCESS | RESPONSE: null
2025-09-16T14:19:45.121Z | initialize | {"protocolVersion":"2025-06-18","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"1.0.115"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-06-18","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2025-09-16T14:19:45.132Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"localhost","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"eunixmacdb","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2025-09-16T14:19:45.152Z | connection_pool_created | {"host":"localhost","port":3306,"database":"eunixmacdb","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2025-09-16T14:19:45.152Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2025-09-17T13:01:28.044Z | SIGINT | {"signal":"SIGINT"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2025-09-17T13:01:28.084Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2025-09-17T13:01:30.403Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2025-09-17T13:01:30.406Z | uncaughtException | {"error":"write EPIPE","stack":"Error: write EPIPE\n    at afterWriteDispatched (node:internal/stream_base_commons:159:15)\n    at writeGeneric (node:internal/stream_base_commons:150:3)\n    at Socket._writeGeneric (node:net:966:11)\n    at Socket._write (node:net:978:8)\n    at writeOrBuffer (node:internal/streams/writable:572:12)\n    at _write (node:internal/streams/writable:501:10)\n    at Writable.write (node:internal/streams/writable:510:10)\n    at console.value (node:internal/console/constructor:298:16)\n    at console.error (node:internal/console/constructor:412:26)\n    at main (/Users/admin/.npm-global/lib/node_modules/@liangshanli/mcp-server-mysql/src/server-final.js:872:11)"} | write EPIPE | RESPONSE: null
2025-09-17T13:04:27.795Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2025-09-17T13:04:27.797Z | initialize | {"protocolVersion":"2025-06-18","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"1.0.117"}} | SUCCESS | RESPONSE: null
2025-09-17T13:04:27.797Z | initialize | {"protocolVersion":"2025-06-18","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"1.0.117"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-06-18","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2025-09-17T13:04:27.806Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"localhost","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"eunixmacdb","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2025-09-17T13:04:27.827Z | connection_pool_created | {"host":"localhost","port":3306,"database":"eunixmacdb","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2025-09-17T13:04:27.827Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2025-09-17T13:43:54.195Z | SIGINT | {"signal":"SIGINT"} | SUCCESS | RESPONSE: {"status":"shutting_down"}
2025-09-17T13:43:54.206Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2025-09-17T13:43:56.445Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2025-09-17T13:43:56.448Z | uncaughtException | {"error":"write EPIPE","stack":"Error: write EPIPE\n    at afterWriteDispatched (node:internal/stream_base_commons:159:15)\n    at writeGeneric (node:internal/stream_base_commons:150:3)\n    at Socket._writeGeneric (node:net:966:11)\n    at Socket._write (node:net:978:8)\n    at writeOrBuffer (node:internal/streams/writable:572:12)\n    at _write (node:internal/streams/writable:501:10)\n    at Writable.write (node:internal/streams/writable:510:10)\n    at console.value (node:internal/console/constructor:298:16)\n    at console.error (node:internal/console/constructor:412:26)\n    at main (/Users/admin/.npm-global/lib/node_modules/@liangshanli/mcp-server-mysql/src/server-final.js:872:11)"} | write EPIPE | RESPONSE: null
2025-09-17T13:44:05.618Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2025-09-17T13:44:05.619Z | initialize | {"protocolVersion":"2025-06-18","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"1.0.117"}} | SUCCESS | RESPONSE: null
2025-09-17T13:44:05.620Z | initialize | {"protocolVersion":"2025-06-18","capabilities":{"roots":{}},"clientInfo":{"name":"claude-code","version":"1.0.117"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-06-18","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
